city,state,singel_family
Bark Ranch, CO,
Barker Heights, NC,97.9%
Barker Ten Mile, NC,
Barker, NY,
Barkeyville, PA,
Barling, AR,98.7%
Barlow, KY,
Barlow, OR,100.0%
Barnard, MO,102.9%
Barnardsville, NC,
Barnegat Light, NJ,
Barnegat, NJ,95.6%
Barnes City, IA,
Barnes Lake-Millers Lake, MI,101.7%
Barnes Lake, MI,101.7%
Barnesville, GA,95.9%
Barnesville, MD,
Barnesville, OH,100.0%
Barneveld, NY,
Barneveld, WI,99.7%
Barnhart, MO,103.0%
Barnhill, OH,
Barnsdall, OK,91.3%
Barnstable Town, MA,97.7%
Barnstable, MA,97.7%
Barnum Island, NY,72.7%
Baroda, MI,100.0%
Barrackville, WV,
Barre, MA,100.7%
Barre, NY,102.6%
Barre, VT,99.5%
Barrera, TX,94.6%
Barrett, TX,97.8%
Barrington Hills, IL,96.6%
Barrington, IL,99.6%
Barrington, NJ,103.5%
Barrington, NY,
Barrington, RI,105.3%
Barry, TX,
Barryton, MI,
Barstow, CA,98.6%
Bartelso, IL,94.4%
Bartlesville, OK,98.9%
Bartlett, IL,100.7%
Bartlett, TN,96.6%
Bartlett, TX,
Barton Creek, TX,96.0%
Barton Hills, MI,
Barton, MD,
Barton, NY,91.8%
Bartonsville, MD,98.1%
Bartonville, IL,94.8%
Bartonville, TX,91.8%
Bartow, FL,97.3%
Barview, OR,94.8%
Barwick, GA,
Basalt, CO,96.3%
Basalt, ID,
Basco, IL,
Bascom, OH,
Basehor, KS,
Basin, MT,
Basking Ridge, NJ,98.8%
Bass Lake, CA,98.6%
Bass Lake, OH,
Bassett, VA,101.7%
Bastian, VA,
Bastrop, LA,
Bastrop, TX,98.8%
Batavia, AR,
Batavia, IA,
Batavia, IL,100.8%
Batavia, MT,
Batavia, NY,102.4%
Batavia, OH,99.0%
Batavia, WI,
Bates City, MO,
Batesville, AR,88.7%
Bath (Berkeley Springs), WV,95.5%
Bath, ME,102.5%
Bath, MI,100.0%
Bath, NC,86.6%
Bath, NY,114.1%
Bath, PA,100.0%
Baton Rouge, LA,94.6%
Battle Creek, MI,100.5%
Battle Creek, NE,99.5%
Battle Ground, IN,99.7%
Battle Ground, WA,99.1%
Battle Lake, MN,95.3%
Battlefield, MO,
Battlement Mesa, CO,99.7%
Baumstown, PA,
Bauxite, AR,100.0%
Bawcomville, LA,
Baxter Estates, NY,
Baxter Village, SC,100.7%
Baxter, IA,101.4%
Baxter, MN,96.6%
Baxter, TN,95.6%
Baxter, WV,
Bay City, MI,99.7%
Bay City, TX,98.3%
Bay City, WI,100.0%
Bay Harbor Islands, FL,90.0%
Bay Head, NJ,105.1%
Bay Hill, FL,94.8%
Bay Lake, FL,99.6%
Bay Minette, AL,89.6%
Bay Park, NY,99.8%
Bay Pines, FL,101.5%
Bay Point, CA,102.5%
Bay Shore, NY,102.8%
Bay St. Louis, MS,94.5%
Bay View Gardens, IL,
Bay View, OH,
Bay View, WA,
Bay Village, OH,103.1%
Bay, AR,76.5%
Bayard, IA,
Bayard, NM,
Bayboro, NC,
Bayfield, CO,97.5%
Bayonet Point, FL,98.6%
Bayonne, NJ,99.5%
Bayou Blue, LA,99.5%
Bayou Cane, LA,96.0%
Bayou Country Club, LA,
Bayou Gauche, LA,100.0%
Bayou L'Ourse, LA,
Bayou La Batre, AL,
Bayou Vista, LA,
Bayou Vista, TX,98.8%
Bayport, MN,100.1%
Bayport, NY,104.1%
Bayshore Gardens, FL,95.8%
Bayshore, NC,98.6%
Bayshore, OR,100.0%
Bayside, WI,101.2%
Baytown, TX,97.2%
Bayview, CA,101.6%
Bayview, NC,
Bayview, TX,
Bayville, NY,98.1%
Baywood Park, CA,
Baywood, NY,107.2%
Beach City, OH,100.2%
Beach City, TX,95.6%
Beach Haven West, NJ,100.7%
Beach Haven, NJ,97.6%
Beach Park, IL,96.4%
Beachwood, NJ,100.9%
